"R0000100","R0153800","R0153900","R0154000","R0154100","R0154200","R0154300","R0154400","R0154500","R0173600","R0214700","R0214800","R0799500","R0799600","R0799700","R0799800","R0799900","R0800000","R0800100","R0800200","R2364600","R2364700","R2364800","R2364900","R2365000","R2365100","R2365200","R2365300","R8418500","R8418501","R8418502","R8418503","R8418504","R8418505","R8418506","R8418507"
96,1,1,2,2,2,1,4,2,6,3,2,2,2,3,2,3,3,4,2,2,2,1,1,4,1,4,3,3,2,3,3,2,3,2,2
97,1,1,3,2,4,2,4,1,5,3,2,1,1,2,1,4,1,4,2,1,3,3,3,4,2,4,2,4,3,4,2,3,3,1,1
98,1,1,2,3,3,1,3,1,6,3,2,2,2,1,1,4,2,2,2,1,1,1,3,2,2,1,-2,4,2,4,2,2,2,2,3
99,1,2,3,2,3,2,4,2,5,3,2,2,2,3,2,4,2,3,2,2,2,3,2,3,3,3,2,4,3,2,3,2,2,1,3
100,2,3,2,1,3,3,4,2,5,3,2,1,2,3,3,4,2,4,2,1,1,1,2,4,1,4,2,4,3,4,3,1,3,1,3
101,3,3,3,3,2,3,2,-2,1,3,1,3,2,2,3,3,3,3,2,2,2,2,2,2,2,3,2,3,3,3,3,2,3,2,3
102,3,3,4,3,2,4,1,4,5,3,2,1,2,3,2,1,2,3,2,1,1,1,2,4,1,3,1,4,4,4,4,1,4,1,4
103,2,3,2,3,3,3,4,2,1,3,1,1,3,3,2,3,3,3,2,1,2,3,2,3,3,3,2,4,4,2,3,2,3,1,3
104,1,3,2,1,2,1,1,1,5,3,2,1,2,2,2,2,1,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
105,1,2,3,1,4,2,4,3,6,3,2,1,3,3,2,4,1,4,1,2,3,3,1,3,2,4,2,4,4,4,4,1,4,1,3
106,2,3,3,4,4,3,3,3,1,3,1,2,2,3,3,4,2,3,2,1,1,1,1,4,2,3,1,3,3,3,2,3,3,2,3
107,1,2,4,2,3,2,4,3,1,3,1,1,1,2,2,3,2,3,2,1,2,3,2,4,2,4,2,3,4,3,2,1,3,1,3
108,2,2,3,2,3,2,3,2,1,3,1,1,2,3,3,4,2,3,2,1,1,4,2,4,2,4,2,4,3,3,3,2,3,1,3
109,2,2,1,1,2,3,3,2,5,3,2,1,3,2,2,2,2,3,2,1,2,2,2,2,1,3,2,-5,-5,-5,-5,-5,-5,-5,-5
110,2,2,3,2,3,2,3,2,1,3,1,2,2,4,2,4,2,2,2,2,2,3,2,3,2,3,2,4,3,2,3,2,3,2,3
111,1,2,3,2,4,3,4,2,5,3,2,2,2,2,2,2,2,3,2,1,1,1,2,3,1,4,1,4,4,4,4,2,3,2,8
112,1,2,2,2,4,2,3,2,5,3,2,2,2,3,2,4,2,3,2,1,1,4,2,4,2,4,2,4,4,3,3,3,4,1,2
113,2,2,3,3,3,2,2,2,1,3,1,2,3,3,3,3,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
114,2,3,3,2,3,3,3,2,1,3,1,2,2,3,2,2,3,3,2,2,2,3,2,3,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5
115,1,2,2,2,2,1,4,1,5,3,2,1,1,3,2,2,1,4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
116,2,1,1,1,1,2,3,2,5,3,2,1,1,1,1,2,1,4,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
117,2,2,3,2,2,2,3,2,1,3,1,2,3,3,2,3,2,3,2,2,2,3,2,3,2,3,2,3,3,3,3,2,3,1,8
118,1,2,2,2,3,2,3,1,5,3,2,1,3,4,1,4,2,4,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
119,1,3,2,2,3,2,4,2,1,3,1,2,2,2,2,3,2,3,2,2,2,2,2,3,3,3,2,3,3,2,3,2,3,2,3
120,3,3,1,3,2,3,3,2,1,3,1,3,3,2,2,2,2,3,2,4,4,2,4,2,4,2,3,3,2,3,2,2,2,2,2
121,2,2,3,2,3,2,4,2,5,3,2,1,1,3,2,4,1,4,1,1,1,3,2,4,1,4,1,4,4,8,4,1,4,1,4
122,1,2,2,2,2,2,3,2,1,3,1,1,2,3,2,3,2,3,2,2,2,3,2,2,2,4,2,4,4,1,3,2,4,1,4
123,2,2,4,2,3,2,3,2,1,3,1,2,2,3,2,4,2,3,-2,1,2,3,2,4,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5
124,2,3,2,3,3,2,4,1,5,3,2,1,3,2,2,3,2,4,1,1,1,4,2,2,2,4,1,3,2,2,2,2,4,1,3
125,4,4,3,3,3,3,1,3,1,3,1,2,3,2,2,3,3,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
126,2,2,3,2,3,2,3,2,1,3,1,2,2,3,2,3,2,3,2,2,2,3,2,3,2,3,2,4,4,1,4,2,4,1,4
127,2,2,2,1,3,2,4,2,1,3,1,2,2,2,1,3,2,4,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
128,2,1,3,2,3,2,3,2,5,3,2,1,1,4,1,4,1,4,1,2,2,2,2,4,2,4,2,-5,-5,-5,-5,-5,-5,-5,-5
129,2,2,2,2,2,2,3,2,1,3,1,1,1,4,2,2,1,4,2,2,2,4,2,3,2,4,2,3,3,2,3,3,3,1,3
130,3,2,3,3,3,3,3,2,6,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
131,3,2,-2,2,-2,3,3,-2,6,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
132,3,3,3,2,3,3,3,3,6,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
133,1,1,1,1,4,1,4,1,5,3,2,1,1,3,1,4,1,4,1,1,1,1,1,4,1,4,1,4,4,4,4,2,4,2,4
134,3,4,3,3,3,4,3,2,1,3,1,2,2,3,3,3,2,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
135,3,2,2,3,3,3,2,2,1,3,1,2,3,3,2,3,3,3,3,1,3,3,2,2,2,3,2,3,3,2,3,2,2,2,3
136,2,4,3,3,4,2,4,3,5,3,2,1,2,2,2,4,2,4,2,1,1,4,3,4,1,4,1,3,3,3,9,2,3,2,3
137,2,1,3,2,3,2,2,2,5,3,2,2,1,3,2,3,2,3,2,2,2,3,2,3,2,4,2,4,4,2,4,2,4,1,3
138,3,2,2,2,3,4,2,3,5,3,2,2,2,2,2,3,3,3,2,2,2,3,2,3,3,3,3,3,3,3,3,2,3,2,2
139,2,2,4,1,2,2,4,2,1,3,1,2,2,3,2,3,2,3,2,1,1,4,2,3,3,3,1,3,3,2,3,3,3,1,2
140,2,2,3,1,3,1,4,2,5,3,2,2,2,2,1,3,2,4,2,1,1,3,2,3,2,4,1,4,4,2,4,1,4,1,4
141,2,2,2,1,3,2,3,3,5,3,2,1,1,1,1,3,2,4,1,2,2,2,2,3,2,4,2,4,3,3,3,8,3,1,3
142,2,2,3,2,4,2,3,1,1,3,1,2,2,2,2,4,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
143,1,1,2,1,1,1,4,1,5,3,2,2,2,3,2,3,2,3,3,-5,-5,-5,-5,-5,-5,-5,-5,3,3,3,2,2,2,1,3
144,2,2,2,2,3,2,3,3,5,3,2,2,2,3,2,3,2,4,2,1,1,2,2,3,2,2,2,3,3,3,3,3,3,2,3
145,2,2,2,2,3,2,3,3,1,3,1,2,2,2,2,3,2,3,2,2,2,2,2,3,2,3,2,4,3,4,4,2,2,2,2
146,1,1,3,2,2,1,4,2,1,3,1,1,1,2,2,3,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,4,4,3,3,3,3,2,3
147,3,2,2,2,4,3,3,2,5,3,2,2,2,2,2,3,2,3,2,2,2,2,2,3,2,3,2,3,3,3,3,2,3,2,3
148,2,2,4,2,4,1,4,2,1,3,1,1,1,3,1,4,1,3,1,2,2,2,2,3,2,3,2,4,4,4,4,1,4,1,3
149,2,2,2,2,3,2,4,2,5,3,2,1,2,3,2,4,2,3,2,1,2,4,2,3,1,4,2,4,4,4,4,1,3,1,3
150,1,1,4,1,4,2,3,2,1,3,1,1,1,4,1,4,2,3,2,1,1,3,1,4,1,3,1,3,3,2,3,2,3,2,2
151,1,3,3,2,3,1,4,1,5,3,2,3,2,3,3,2,3,3,3,-2,1,2,3,3,3,3,3,-5,-5,-5,-5,-5,-5,-5,-5
152,1,2,2,2,3,1,4,1,5,3,2,1,2,2,1,4,2,4,2,1,2,1,3,3,1,4,2,4,4,1,4,1,4,1,4
153,1,3,3,2,3,2,4,2,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,1,4,3,2,3,2,4,2,4,4,3,3,1,3,1,3
154,2,2,3,2,3,2,4,1,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
155,1,3,3,1,1,3,3,2,1,3,1,2,4,4,4,1,4,1,1,2,2,3,2,2,2,3,3,4,4,4,4,1,1,4,4
156,3,3,3,3,3,3,3,3,1,3,1,3,4,4,3,1,3,3,3,-5,-5,-5,-5,-5,-5,-5,-5,3,3,2,3,2,3,2,2
157,4,3,2,2,3,2,3,3,5,3,2,2,2,3,3,4,2,4,2,2,2,1,2,3,4,4,-2,-5,-5,-5,-5,-5,-5,-5,-5
158,1,1,1,1,3,1,4,1,5,3,2,1,1,1,2,3,2,3,1,1,1,1,1,3,1,4,2,4,4,4,4,2,4,1,4
159,2,2,1,1,1,2,3,2,5,3,2,1,1,2,1,3,2,3,2,1,1,2,1,3,2,4,2,-5,-5,-5,-5,-5,-5,-5,-5
160,2,2,2,2,3,3,3,2,5,3,2,1,1,2,2,4,2,3,2,1,2,4,2,3,2,4,2,3,2,3,3,2,2,1,3
161,2,2,2,2,3,2,3,2,5,3,2,2,2,2,2,3,2,3,2,2,2,3,2,4,2,4,3,1,1,3,3,3,1,1,1
162,1,2,4,1,4,1,4,2,1,3,1,2,2,4,2,3,2,4,2,1,1,4,1,3,1,4,1,4,4,3,3,3,4,1,3
163,2,2,3,2,3,2,3,2,1,3,1,1,1,4,1,3,2,4,2,1,1,4,1,2,1,4,2,-5,-5,-5,-5,-5,-5,-5,-5
164,2,2,4,2,4,2,2,2,5,3,2,1,1,4,2,2,2,3,2,1,1,3,3,3,2,4,2,-5,-5,-5,-5,-5,-5,-5,-5
165,1,2,3,1,3,2,3,2,5,3,2,1,2,2,2,3,2,3,3,1,1,3,1,3,3,4,2,4,4,2,4,1,3,1,3
166,1,2,3,1,2,3,3,2,1,3,1,2,2,3,2,3,2,3,2,1,2,3,2,3,2,3,2,3,4,3,2,2,3,2,2
167,1,2,3,1,3,3,4,3,5,3,2,1,1,2,1,4,1,4,1,4,1,1,1,-2,1,4,2,-5,-5,-5,-5,-5,-5,-5,-5
168,2,2,2,2,4,2,3,2,3,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
169,2,3,2,2,4,4,4,2,7,2,2,-5,-5,-5,-5,-5,-5,-5,-5,1,1,1,1,4,1,4,1,-5,-5,-5,-5,-5,-5,-5,-5
170,1,2,3,3,3,2,3,2,5,3,2,2,2,3,3,3,3,3,3,2,2,3,3,3,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5
171,1,2,3,2,3,2,3,2,1,3,1,1,2,4,-2,1,2,4,3,2,3,3,1,4,2,3,2,4,4,1,3,2,3,2,3
172,2,2,3,1,3,2,4,2,6,3,2,2,2,3,2,3,2,3,2,2,2,3,3,3,2,3,3,3,3,3,2,2,3,2,1
